"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Dec 13 22:20:24 GMT 2022","Tue Dec 13 22:20:24 GMT 2022","837","tests","test_steps","","","","test_dynamic_steps",""
"broken","Tue Dec 13 22:20:21 GMT 2022","Tue Dec 13 22:20:23 GMT 2022","1962","tests","test_homework","","","","test_github",""
"passed","Tue Dec 13 22:20:23 GMT 2022","Tue Dec 13 22:20:23 GMT 2022","0","tests","test_labels","","","","test_dynamic_labels",""
"broken","Tue Dec 13 22:20:24 GMT 2022","Tue Dec 13 22:20:25 GMT 2022","836","tests","test_steps","","","","test_decorator_steps",""
"passed","Tue Dec 13 22:20:23 GMT 2022","Tue Dec 13 22:20:23 GMT 2022","0","tests","test_labels","","","","test_decorator_labels",""
"broken","Tue Dec 13 22:20:23 GMT 2022","Tue Dec 13 22:20:24 GMT 2022","834","tests","test_selene","","","","test_github",""
"passed","Tue Dec 13 22:20:23 GMT 2022","Tue Dec 13 22:20:23 GMT 2022","0","tests","test_labels","","","","test_no_labels",""
"passed","Tue Dec 13 22:20:21 GMT 2022","Tue Dec 13 22:20:21 GMT 2022","0","tests","test_attachments","","","","test_attachments",""
