"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Dec 13 21:27:56 GMT 2022","Tue Dec 13 21:27:56 GMT 2022","777","tests","test_steps","","","","test_decorator_steps",""
"passed","Tue Dec 13 21:27:53 GMT 2022","Tue Dec 13 21:27:53 GMT 2022","0","tests","test_labels","","","","test_decorator_labels",""
"broken","Tue Dec 13 21:27:55 GMT 2022","Tue Dec 13 21:27:55 GMT 2022","784","tests","test_steps","","","","test_dynamic_steps",""
"passed","Tue Dec 13 21:27:53 GMT 2022","Tue Dec 13 21:27:53 GMT 2022","0","tests","test_labels","","","","test_no_labels",""
"passed","Tue Dec 13 21:27:53 GMT 2022","Tue Dec 13 21:27:53 GMT 2022","1","tests","test_attachments","","","","test_attachments",""
"passed","Tue Dec 13 21:27:53 GMT 2022","Tue Dec 13 21:27:53 GMT 2022","0","tests","test_labels","","","","test_dynamic_labels",""
"broken","Tue Dec 13 21:27:53 GMT 2022","Tue Dec 13 21:27:55 GMT 2022","1952","tests","test_selene","","","","test_github",""
