"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 13 21:07:50 GMT 2022","Tue Dec 13 21:07:50 GMT 2022","0","tests","test_labels","","","","test_decorator_labels",""
"broken","Tue Dec 13 21:07:50 GMT 2022","Tue Dec 13 21:07:55 GMT 2022","5162","tests","test_selene","","","","test_github",""
"passed","Tue Dec 13 21:07:50 GMT 2022","Tue Dec 13 21:07:50 GMT 2022","0","tests","test_labels","","","","test_dynamic_labels",""
"broken","Tue Dec 13 21:07:56 GMT 2022","Tue Dec 13 21:07:57 GMT 2022","776","tests","test_steps","","","","test_decorator_steps",""
"passed","Tue Dec 13 21:07:50 GMT 2022","Tue Dec 13 21:07:50 GMT 2022","0","tests","test_labels","","","","test_no_labels",""
"broken","Tue Dec 13 21:07:55 GMT 2022","Tue Dec 13 21:07:56 GMT 2022","822","tests","test_steps","","","","test_dynamic_steps",""
"passed","Tue Dec 13 21:07:50 GMT 2022","Tue Dec 13 21:07:50 GMT 2022","0","tests","test_attachments","","","","test_attachments",""
