"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 14 10:31:09 GMT 2022","Wed Dec 14 10:31:09 GMT 2022","1","tests","test_attachments","","","","test_attachments",""
"passed","Wed Dec 14 10:31:13 GMT 2022","Wed Dec 14 10:31:13 GMT 2022","1","tests","test_labels","","","","test_decorator_labels",""
"broken","Wed Dec 14 10:31:12 GMT 2022","Wed Dec 14 10:31:13 GMT 2022","806","tests","test_homework","","","","test_decorator_steps",""
"passed","Wed Dec 14 10:31:13 GMT 2022","Wed Dec 14 10:31:13 GMT 2022","0","tests","test_labels","","","","test_no_labels",""
"broken","Wed Dec 14 10:31:11 GMT 2022","Wed Dec 14 10:31:12 GMT 2022","834","tests","test_homework","","","","test_dynamic_steps",""
"broken","Wed Dec 14 10:31:13 GMT 2022","Wed Dec 14 10:31:14 GMT 2022","799","tests","test_selene","","","","test_github",""
"broken","Wed Dec 14 10:31:09 GMT 2022","Wed Dec 14 10:31:11 GMT 2022","2143","tests","test_homework","","","","test_github",""
"broken","Wed Dec 14 10:31:14 GMT 2022","Wed Dec 14 10:31:15 GMT 2022","796","tests","test_steps","","","","test_dynamic_steps",""
"broken","Wed Dec 14 10:31:15 GMT 2022","Wed Dec 14 10:31:16 GMT 2022","812","tests","test_steps","","","","test_decorator_steps",""
"passed","Wed Dec 14 10:31:13 GMT 2022","Wed Dec 14 10:31:13 GMT 2022","0","tests","test_labels","","","","test_dynamic_labels",""
