"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 13 19:52:27 GMT 2022","Tue Dec 13 19:52:27 GMT 2022","0","tests","test_labels","","","","test_decorator_labels",""
"passed","Tue Dec 13 19:52:27 GMT 2022","Tue Dec 13 19:52:27 GMT 2022","0","tests","test_labels","","","","test_dynamic_labels",""
"passed","Tue Dec 13 19:52:27 GMT 2022","Tue Dec 13 19:52:27 GMT 2022","0","tests","test_attachments","","","","test_attachments",""
"broken","Tue Dec 13 19:52:30 GMT 2022","Tue Dec 13 19:52:30 GMT 2022","788","tests","test_steps","","","","test_decorator_steps",""
"broken","Tue Dec 13 19:52:27 GMT 2022","Tue Dec 13 19:52:29 GMT 2022","1744","tests","test_selene","","","","test_github",""
"broken","Tue Dec 13 19:52:29 GMT 2022","Tue Dec 13 19:52:30 GMT 2022","793","tests","test_steps","","","","test_dynamic_steps",""
"passed","Tue Dec 13 19:52:27 GMT 2022","Tue Dec 13 19:52:27 GMT 2022","0","tests","test_labels","","","","test_no_labels",""
