"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Dec 13 18:30:42 GMT 2022","Tue Dec 13 18:30:44 GMT 2022","2247","tests","test_selene","","","","test_github",""
"passed","Tue Dec 13 18:30:42 GMT 2022","Tue Dec 13 18:30:42 GMT 2022","1","tests","test_attachments","","","","test_attachments",""
"broken","Tue Dec 13 18:30:44 GMT 2022","Tue Dec 13 18:30:45 GMT 2022","818","tests","test_steps","","","","test_dynamic_steps",""
"passed","Tue Dec 13 18:30:42 GMT 2022","Tue Dec 13 18:30:42 GMT 2022","0","tests","test_labels","","","","test_dynamic_labels",""
"broken","Tue Dec 13 18:30:45 GMT 2022","Tue Dec 13 18:30:46 GMT 2022","806","tests","test_steps","","","","test_decorator_steps",""
"passed","Tue Dec 13 18:30:42 GMT 2022","Tue Dec 13 18:30:42 GMT 2022","0","tests","test_labels","","","","test_decorator_labels",""
"passed","Tue Dec 13 18:30:42 GMT 2022","Tue Dec 13 18:30:42 GMT 2022","0","tests","test_labels","","","","test_no_labels",""
