"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 25 15:17:20 GMT 2022","Sun Dec 25 15:17:20 GMT 2022","1","tests","test_labels","","","","test_dynamic_labels",""
"broken","Sun Dec 25 15:17:20 GMT 2022","Sun Dec 25 15:17:20 GMT 2022","806","tests","test_homework","","","","test_decorator_steps",""
"passed","Sun Dec 25 15:17:20 GMT 2022","Sun Dec 25 15:17:20 GMT 2022","1","tests","test_labels","","","","test_decorator_labels",""
"passed","Sun Dec 25 15:17:16 GMT 2022","Sun Dec 25 15:17:16 GMT 2022","0","tests","test_attachments","","","","test_attachments",""
"broken","Sun Dec 25 15:17:21 GMT 2022","Sun Dec 25 15:17:22 GMT 2022","804","tests","test_steps","","","","test_dynamic_steps",""
"broken","Sun Dec 25 15:17:22 GMT 2022","Sun Dec 25 15:17:23 GMT 2022","816","tests","test_steps","","","","test_decorator_steps",""
"broken","Sun Dec 25 15:17:19 GMT 2022","Sun Dec 25 15:17:19 GMT 2022","843","tests","test_homework","","","","test_dynamic_steps",""
"broken","Sun Dec 25 15:17:20 GMT 2022","Sun Dec 25 15:17:21 GMT 2022","799","tests","test_selene","","","","test_github",""
"broken","Sun Dec 25 15:17:16 GMT 2022","Sun Dec 25 15:17:19 GMT 2022","2396","tests","test_homework","","","","test_github",""
"passed","Sun Dec 25 15:17:20 GMT 2022","Sun Dec 25 15:17:20 GMT 2022","0","tests","test_labels","","","","test_no_labels",""
